run_name,family,budget,content_run,row,scene,dataset_start_frame,duration_sec,section_idx,section_time_sec,context_slot,target_frame,candidate_count,traced_candidate_count,candidate_count_mismatch,selected_overlap,selected_memory_frame,selected_view_mismatch,selected_memory_corruption,selected_effective_mismatch,bank_oracle_frame,bank_oracle_view_mismatch,bank_oracle_memory_corruption,bank_oracle_effective_mismatch,full_oracle_frame,full_oracle_view_mismatch,full_oracle_memory_corruption,full_oracle_effective_mismatch,retention_gap,retrieval_gap,total_oracle_gap
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,2,5.066666666666666,0,153,60,60,0,0.985553772070626,147,0.0503312349319458,0.32669687271118164,0.3409315347671509,103,0.06657648086547852,0.3066595196723938,0.30124568939208984,22,0.21682077646255493,0.08815211057662964,0.20579195022583008,0.09545373916625977,0.039685845375061035,0.1351395845413208
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,2,5.066666666666666,19,172,60,60,0,0.9581320450885669,145,0.051671743392944336,0.31972813606262207,0.3097144365310669,134,0.0784616470336914,0.29731321334838867,0.2816150188446045,30,0.1966789960861206,0.060962557792663574,0.21223676204681396,0.06937825679779053,0.028099417686462402,0.09747767448425293
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,2,5.066666666666666,38,191,60,60,0,0.9057437407952872,139,0.13500970602035522,0.35762447118759155,0.30409079790115356,134,0.11739647388458252,0.29731321334838867,0.28513211011886597,30,0.1999223828315735,0.060962557792663574,0.2177305817604065,0.06740152835845947,0.018958687782287598,0.08636021614074707
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,2,5.066666666666666,57,210,60,60,0,0.8517940717628705,145,0.13772964477539062,0.31972813606262207,0.3518275022506714,134,0.15372717380523682,0.29731321334838867,0.32197409868240356,30,0.21017253398895264,0.060962557792663574,0.23225551843643188,0.08971858024597168,0.029853403568267822,0.1195719838142395
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,3,7.6,0,229,60,60,0,0.9791044776119403,223,0.05805402994155884,0.39854705333709717,0.39933180809020996,165,0.12353962659835815,0.3087303638458252,0.37083321809768677,31,0.20447689294815063,0.05921751260757446,0.22986161708831787,0.1409716010093689,0.028498589992523193,0.1694701910018921
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,3,7.6,19,248,60,60,0,0.7200538358008075,224,0.1509518027305603,0.4130868911743164,0.32597142457962036,165,0.1069297194480896,0.3087303638458252,0.31150031089782715,35,0.15075570344924927,0.08507800102233887,0.15122002363204956,0.1602802872657776,0.014471113681793213,0.1747514009475708
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,3,7.6,38,267,60,60,0,0.48372093023255813,224,0.20222574472427368,0.4130868911743164,0.33316516876220703,165,0.18704384565353394,0.3087303638458252,0.30720967054367065,33,0.06765401363372803,0.08504915237426758,0.10909157991409302,0.19811809062957764,0.025955498218536377,0.224073588848114
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,3,7.6,57,286,60,60,0,0.3199195171026157,206,0.25454288721084595,0.3968876600265503,0.4952486753463745,165,0.25414931774139404,0.3087303638458252,0.4552959203720093,0,0.07732856273651123,0.05304121971130371,0.10642385482788086,0.3488720655441284,0.039952754974365234,0.38882482051849365
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,4,10.133333333333333,0,305,60,60,0,0.9426751592356688,300,0.051982998847961426,0.6635956764221191,0.6352080702781677,290,0.14272505044937134,0.5164130926132202,0.570012092590332,0,0.20408856868743896,0.05304121971130371,0.19319546222686768,0.37681663036346436,0.0651959776878357,0.44201260805130005
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,4,10.133333333333333,19,324,60,60,0,0.962178517397882,295,0.05332350730895996,0.6110742092132568,0.5827442407608032,293,0.07867676019668579,0.557986319065094,0.5645744800567627,0,0.15795683860778809,0.05304121971130371,0.1661742925643921,0.3984001874923706,0.018169760704040527,0.41656994819641113
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,4,10.133333333333333,38,343,60,60,0,0.9125,288,0.09923315048217773,0.533950686454773,0.6043609380722046,293,0.08221501111984253,0.557986319065094,0.5681453943252563,0,0.13994252681732178,0.05304121971130371,0.15123659372329712,0.41690880060195923,0.03621554374694824,0.45312434434890747
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,4,10.133333333333333,57,362,60,60,0,0.8932330827067669,284,0.08144760131835938,0.49955040216445923,0.5502195358276367,243,0.2625185251235962,0.40557026863098145,0.45995664596557617,1,0.04426306486129761,0.05891519784927368,0.0853424072265625,0.37461423873901367,0.09026288986206055,0.4648771286010742
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,5,12.666666666666666,0,381,60,60,0,0.9574803149606299,376,0.0204007625579834,0.44192564487457275,0.42909300327301025,376,0.0204007625579834,0.44192564487457275,0.4290929436683655,8,0.06016653776168823,0.07210779190063477,0.10055816173553467,0.3285347819328308,5.960464477539063e-08,0.3285348415374756
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,5,12.666666666666666,19,400,60,60,0,0.8462709284627092,376,0.10089534521102905,0.44192564487457275,0.3879789113998413,376,0.10089534521102905,0.44192564487457275,0.3879789710044861,30,0.050045549869537354,0.060962557792663574,0.08573174476623535,0.30224722623825073,0.0,0.30224722623825073
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,5,12.666666666666666,38,419,60,60,0,0.7133152173913043,370,0.1546614170074463,0.46112799644470215,0.41142964363098145,345,0.2997778654098511,0.5747023820877075,0.40314555168151855,30,0.07237040996551514,0.060962557792663574,0.1091194748878479,0.29402607679367065,0.00828409194946289,0.30231016874313354
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,5,12.666666666666666,57,438,60,60,0,0.592964824120603,376,0.23807823657989502,0.44192564487457275,0.42954790592193604,345,0.38143712282180786,0.5747023820877075,0.4137251377105713,30,0.1419161558151245,0.060962557792663574,0.16550952196121216,0.24821561574935913,0.015822768211364746,0.2640383839607239
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,6,15.2,0,457,60,60,0,0.975609756097561,452,0.04678332805633545,0.41279006004333496,0.44901204109191895,429,0.12451434135437012,0.4278998374938965,0.3891199231147766,30,0.18456923961639404,0.060962557792663574,0.217207670211792,0.17191225290298462,0.059892117977142334,0.23180437088012695
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,6,15.2,19,476,60,60,0,0.9742765273311897,443,0.051215410232543945,0.36988765001296997,0.3352499008178711,442,0.039022088050842285,0.3751182556152344,0.3345143795013428,30,0.12555861473083496,0.060962557792663574,0.15398263931274414,0.18053174018859863,0.0007355213165283203,0.18126726150512695
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,6,15.2,38,495,60,60,0,0.9278350515463918,434,0.040559232234954834,0.44563722610473633,0.4162788391113281,443,0.06581234931945801,0.36988765001296997,0.3599706292152405,30,0.12478530406951904,0.060962557792663574,0.1625453233718872,0.19742530584335327,0.056308209896087646,0.2537335157394409
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,6,15.2,57,514,60,60,0,0.896875,432,0.05087238550186157,0.4603457450866699,0.4271238446235657,443,0.09978371858596802,0.36988765001296997,0.3605040907859802,30,0.0930171012878418,0.060962557792663574,0.13029909133911133,0.2302049994468689,0.06661975383758545,0.29682475328445435
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,7,17.733333333333334,0,533,60,60,0,0.9799382716049383,528,0.04221469163894653,0.46596479415893555,0.471638560295105,482,0.08702343702316284,0.3906376361846924,0.3790165185928345,30,0.07584518194198608,0.060962557792663574,0.11797654628753662,0.26103997230529785,0.09262204170227051,0.35366201400756836
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,7,17.733333333333334,19,552,60,60,0,0.7254335260115607,517,0.14036476612091064,0.46857917308807373,0.4955083131790161,509,0.16531378030776978,0.42427921295166016,0.4284825325012207,18,0.07662057876586914,0.08188110589981079,0.10842740535736084,0.32005512714385986,0.06702578067779541,0.3870809078216553
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,7,17.733333333333334,38,571,60,60,0,0.5661057692307693,514,0.32923734188079834,0.4526911973953247,0.5447751879692078,509,0.33284980058670044,0.42427921295166016,0.4805721640586853,0,0.13443219661712646,0.05304121971130371,0.13044017553329468,0.3501319885253906,0.06420302391052246,0.4143350124359131
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,7,17.733333333333334,57,590,60,60,0,0.3982202447163515,525,0.44118624925613403,0.42487120628356934,0.6254674196243286,509,0.4678264856338501,0.42427921295166016,0.6031985282897949,0,0.22391033172607422,0.05304121971130371,0.2088240385055542,0.3943744897842407,0.02226889133453369,0.4166433811187744
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,8,20.266666666666666,0,609,60,60,0,0.9443585780525502,604,0.051355838775634766,0.6299523115158081,0.6056134104728699,593,0.08179265260696411,0.6108179092407227,0.5487398505210876,0,0.18950891494750977,0.05304121971130371,0.1718590259552002,0.37688082456588745,0.05687355995178223,0.4337543845176697
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,8,20.266666666666666,19,628,60,60,0,0.8714733542319749,604,0.0726538896560669,0.6299523115158081,0.6179906725883484,593,0.08842211961746216,0.6108179092407227,0.567233681678772,1,0.19680190086364746,0.05891519784927368,0.18011975288391113,0.38711392879486084,0.050756990909576416,0.43787091970443726
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,8,20.266666666666666,38,647,60,60,0,0.7951153324287653,602,0.11615264415740967,0.6510794758796692,0.5980199575424194,592,0.16800248622894287,0.625989556312561,0.5503879189491272,0,0.21511518955230713,0.05304121971130371,0.1797841191291809,0.3706037998199463,0.047632038593292236,0.4182358384132385
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,8,20.266666666666666,57,666,60,60,0,0.739652870493992,604,0.132698655128479,0.6299523115158081,0.6291922330856323,592,0.17051208019256592,0.625989556312561,0.5736543536186218,0,0.2086428999900818,0.05304121971130371,0.1824589967727661,0.3911953568458557,0.0555378794670105,0.4467332363128662
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,9,22.8,0,685,60,60,0,0.9807383627608347,680,0.04181861877441406,0.6296670436859131,0.6685817241668701,622,0.06120014190673828,0.5722535848617554,0.6093286275863647,0,0.20633786916732788,0.05304121971130371,0.18035006523132324,0.4289785623550415,0.05925309658050537,0.4882316589355469
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,9,22.8,19,704,60,60,0,0.9529983792544571,676,0.04981207847595215,0.6702325940132141,0.6662898063659668,622,0.08055835962295532,0.5722535848617554,0.6034568548202515,2,0.17491823434829712,0.06494462490081787,0.16731047630310059,0.4361463785171509,0.06283295154571533,0.4989793300628662
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,9,22.8,38,723,60,60,0,0.932824427480916,677,0.0536159873008728,0.6653144359588623,0.6745667457580566,622,0.0809711217880249,0.5722535848617554,0.6183561086654663,2,0.18120938539505005,0.06494462490081787,0.17954015731811523,0.4388159513473511,0.05621063709259033,0.4950265884399414
